Area,Year,Subgroup,Rape_Cases_Reported,Victims_Upto_10,Victims_Between_10-14,Victims_Between_14-18,Victims_Between_18-30,Victims_Between_30-50,Victims_Above_50,Victims_Total
Andaman & Nicobar Islands,2001,Total Rape Victims,3,0,0,3,0,0,0,3
Andaman & Nicobar Islands,2001,Victims of Incest Rape,1,0,0,1,0,0,0,1
Andaman & Nicobar Islands,2001,Victims of Other Rape,2,0,0,2,0,0,0,2
Andaman & Nicobar Islands,2002,Total Rape Victims,2,0,0,1,1,0,0,2
Andaman & Nicobar Islands,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Victims of Other Rape,2,0,0,1,1,0,0,2
Andaman & Nicobar Islands,2003,Total Rape Victims,2,1,0,1,0,0,0,2
Andaman & Nicobar Islands,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Victims of Other Rape,2,1,0,1,0,0,0,2
Andaman & Nicobar Islands,2004,Total Rape Victims,10,0,1,7,1,1,0,10
Andaman & Nicobar Islands,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Victims of Other Rape,10,0,1,7,1,1,0,10
Andaman & Nicobar Islands,2005,Total Rape Victims,4,0,0,2,2,0,0,4
Andaman & Nicobar Islands,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Victims of Other Rape,4,0,0,2,2,0,0,4
Andaman & Nicobar Islands,2006,Total Rape Victims,6,2,2,1,1,0,0,6
Andaman & Nicobar Islands,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Victims of Other Rape,6,2,2,1,1,0,0,6
Andaman & Nicobar Islands,2007,Total Rape Victims,3,0,0,3,0,0,0,3
Andaman & Nicobar Islands,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Victims of Other Rape,3,0,0,3,0,0,0,3
Andaman & Nicobar Islands,2008,Total Rape Victims,12,0,1,7,3,1,0,12
Andaman & Nicobar Islands,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Victims of Other Rape,12,0,1,7,3,1,0,12
Andaman & Nicobar Islands,2009,Total Rape Victims,18,2,3,7,5,1,0,18
Andaman & Nicobar Islands,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Victims of Other Rape,18,2,3,7,5,1,0,18
Andaman & Nicobar Islands,2010,Total Rape Victims,24,2,1,12,8,1,0,24
Andaman & Nicobar Islands,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Victims of Other Rape,24,2,1,12,8,1,0,24
Andhra Pradesh,2001,Total Rape Victims,871,57,138,254,328,80,14,871
Andhra Pradesh,2001,Victims of Incest Rape,4,0,2,0,2,0,0,4
Andhra Pradesh,2001,Victims of Other Rape,867,57,136,254,326,80,14,867
Andhra Pradesh,2002,Total Rape Victims,1002,35,67,35,709,148,8,1002
Andhra Pradesh,2002,Victims of Incest Rape,5,0,2,0,3,0,0,5
Andhra Pradesh,2002,Victims of Other Rape,997,35,65,35,706,148,8,997
Andhra Pradesh,2003,Total Rape Victims,946,33,135,215,429,127,7,946
Andhra Pradesh,2003,Victims of Incest Rape,15,3,2,1,7,2,0,15
Andhra Pradesh,2003,Victims of Other Rape,931,30,133,214,422,125,7,931
Andhra Pradesh,2004,Total Rape Victims,1016,55,145,163,516,130,7,1016
Andhra Pradesh,2004,Victims of Incest Rape,5,1,0,3,1,0,0,5
Andhra Pradesh,2004,Victims of Other Rape,1011,54,145,160,515,130,7,1011
Andhra Pradesh,2005,Total Rape Victims,935,32,106,177,490,124,6,935
Andhra Pradesh,2005,Victims of Incest Rape,18,2,4,0,6,6,0,18
Andhra Pradesh,2005,Victims of Other Rape,917,30,102,177,484,118,6,917
Andhra Pradesh,2006,Total Rape Victims,1049,46,128,238,536,91,10,1049
Andhra Pradesh,2006,Victims of Incest Rape,1,0,0,0,1,0,0,1
Andhra Pradesh,2006,Victims of Other Rape,1048,46,128,238,535,91,10,1048
Andhra Pradesh,2007,Total Rape Victims,1070,52,110,201,572,128,7,1070
Andhra Pradesh,2007,Victims of Incest Rape,7,0,0,4,3,0,0,7
Andhra Pradesh,2007,Victims of Other Rape,1063,52,110,197,569,128,7,1063
Andhra Pradesh,2008,Total Rape Victims,1257,49,126,237,660,174,11,1257
Andhra Pradesh,2008,Victims of Incest Rape,13,2,2,1,5,1,2,13
Andhra Pradesh,2008,Victims of Other Rape,1244,47,124,236,655,173,9,1244
Andhra Pradesh,2009,Total Rape Victims,1188,41,167,208,642,116,14,1188
Andhra Pradesh,2009,Victims of Incest Rape,2,0,0,2,0,0,0,2
Andhra Pradesh,2009,Victims of Other Rape,1186,41,167,206,642,116,14,1186
Andhra Pradesh,2010,Total Rape Victims,1362,30,133,283,749,152,15,1362
Andhra Pradesh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Victims of Other Rape,1362,30,133,283,749,152,15,1362
Arunachal Pradesh,2001,Total Rape Victims,33,0,0,1,28,4,0,33
Arunachal Pradesh,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Victims of Other Rape,33,0,0,1,28,4,0,33
Arunachal Pradesh,2002,Total Rape Victims,38,0,0,3,30,5,0,38
Arunachal Pradesh,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Victims of Other Rape,38,0,0,3,30,5,0,38
Arunachal Pradesh,2003,Total Rape Victims,31,3,5,4,19,0,0,31
Arunachal Pradesh,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Victims of Other Rape,31,3,5,4,19,0,0,31
Arunachal Pradesh,2004,Total Rape Victims,42,2,9,0,31,0,0,42
Arunachal Pradesh,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Victims of Other Rape,42,2,9,0,31,0,0,42
Arunachal Pradesh,2005,Total Rape Victims,35,3,5,2,25,0,0,35
Arunachal Pradesh,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Victims of Other Rape,35,3,5,2,25,0,0,35
Arunachal Pradesh,2006,Total Rape Victims,37,0,0,0,34,3,0,37
Arunachal Pradesh,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Victims of Other Rape,37,0,0,0,34,3,0,37
Arunachal Pradesh,2007,Total Rape Victims,48,1,0,0,42,5,0,48
Arunachal Pradesh,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Victims of Other Rape,48,1,0,0,42,5,0,48
Arunachal Pradesh,2008,Total Rape Victims,42,4,7,0,31,0,0,42
Arunachal Pradesh,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Victims of Other Rape,42,4,7,0,31,0,0,42
Arunachal Pradesh,2009,Total Rape Victims,59,4,12,0,42,1,0,59
